Campaign	Labels	Campaign Type	Networks	Budget	Budget type	EU political ads	Standard conversion goals	Customer acquisition	Languages	Bid Strategy Type	Bid Strategy Name	Enhanced CPC	Start Date	End Date	Broad match keywords	Ad Schedule	Ad rotation	Content exclusions	Targeting method	Exclusion method	DSA Website	DSA Language	DSA targeting source	DSA page feeds	Audience targeting	Flexible Reach	AI Max	Text customization	Final URL expansion	Ad Group	Max CPC	Max CPM	Target CPA	Max CPV	Target CPV	Percent CPC	Target CPM	Target ROAS	Target CPC	Desktop Bid Modifier	Mobile Bid Modifier	Tablet Bid Modifier	TV Screen Bid Modifier	Display Network Custom Bid Type	Optimized targeting	Strict age and gender targeting	Search term matching	Ad Group Type	Channels	Audience name	Age demographic	Gender demographic	Income demographic	Parental status demographic	Remarketing audience segments	Interest categories	Life events	Custom audience segments	Detailed demographics	Remarketing audience exclusions	Tracking template	Final URL suffix	Custom parameters	ID	Location	Location type	Reach	Location groups	Radius	Unit	Bid Modifier	Account keyword type	Keyword	Criterion Type	First page bid	Top of page bid	First position bid	Quality score	Landing page experience	Expected CTR	Ad relevance	Final URL	Final mobile URL	Image Size	Upgraded extension	Link source	Ad type	Headline 1	Headline 1 position	Headline 2	Headline 2 position	Headline 3	Headline 3 position	Headline 4	Headline 4 position	Headline 5	Headline 5 position	Headline 6	Headline 6 position	Headline 7	Headline 7 position	Headline 8	Headline 8 position	Headline 9	Headline 9 position	Headline 10	Headline 10 position	Headline 11	Headline 11 position	Headline 12	Headline 12 position	Headline 13	Headline 13 position	Headline 14	Headline 14 position	Headline 15	Headline 15 position	Description 1	Description 1 position	Description 2	Description 2 position	Description 3	Description 3 position	Description 4	Description 4 position	Path 1	Path 2	Shared set name	Shared set type	Keyword count	Link Text	Description Line 1	Description Line 2	Source	Header	Snippet Values	Callout text	Phone Number	Country of Phone	Conversion Action	Campaign Status	Ad Group Status	Status	Approval Status	Ad strength	Comment
大阪府＿車内クリーニング																														int大阪_通常清掃																																										None	車 革 シート 洗浄	Negative Phrase																																																																			Enabled	Enabled	Enabled			
大阪府＿車内クリーニング																														int大阪_通常清掃																																										None	車 の シート お 漏らし 臭い 取り	Negative Phrase																																																																			Enabled	Enabled	Enabled			
大阪府＿車内クリーニング																														int大阪_通常清掃																																										None	シート 洗浄 車	Negative Phrase																																																																			Enabled	Enabled	Enabled			
大阪府＿車内クリーニング																														int大阪_通常清掃																																										None	車 レザー シート 臭い 取り	Negative Phrase																																																																			Enabled	Enabled	Enabled			
大阪府＿車内クリーニング																														int大阪_通常清掃																																										None	ホワイト レザー シート	Negative Phrase																																																																			Enabled	Enabled	Enabled			
大阪府＿車内クリーニング																														int大阪_通常清掃																																										None	車 の シート お し っ 子 の 匂い 消し	Negative Phrase																																																																			Enabled	Enabled	Enabled			
大阪府＿車内クリーニング																														int大阪_通常清掃																																										None	車 ボディ ホコリ 取り おすすめ	Negative Phrase																																																																			Enabled	Enabled	Enabled			
大阪府＿車内クリーニング																														int大阪_通常清掃																																										None	車 の 拭き掃除	Negative Phrase																																																																			Enabled	Enabled	Enabled			
大阪府＿車内クリーニング																														int大阪_通常清掃																																										None	車内 クリーニング 大阪 安い	Negative Phrase																																																																			Enabled	Enabled	Enabled			
大阪府＿車内クリーニング																														int大阪_通常清掃																																										None	車 の シート 掃除	Negative Phrase																																																																			Enabled	Enabled	Enabled			
大阪府＿車内クリーニング																														int大阪_通常清掃																																										None	革 シート クリーニング	Negative Phrase																																																																			Enabled	Enabled	Enabled			
大阪府＿車内クリーニング																														int大阪_通常清掃																																										None	車 シート リペア	Negative Phrase																																																																			Enabled	Enabled	Enabled			
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										中古 車 クリーニング 費用	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 の 中 洗浄	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 掃除	Phrase	242	446	614	3	Below average	Below average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 クリーニング 大阪	Phrase	580	580	580	5	Below average	Average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 クリーニング	Phrase	87				 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 室内 クリーニング	Phrase	161	161	272	7	Average	Average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 車内 清掃	Phrase	273	327	550	5	Below average	Average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 嘔吐 クリーニング 業者	Phrase	82	154	250		 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 洗浄	Phrase	183	214	214	3	Below average	Below average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 クリーニング 嘔吐 大阪	Phrase	200	200	450	8	Average	Above average	Above average	https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/																																																											Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										特殊 清掃 車	Phrase	250				 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 クリーニング 車内	Phrase	45	45	421		 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 クリーニング 嘔吐	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 の 掃除	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 車内 清掃 業者	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 室内 掃除	Phrase	227	339	339	3	Below average	Below average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 ゲロ クリーニング	Phrase	227	339	341	4	Below average	Average	Average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 清掃 消 臭	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 嘔吐 臭い 取れ ない	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										ゲロ 臭い 消し 車	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車内 クリーニング 大阪 安い	Broad	92	99	273	3	Below average	Average	Below average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										シート ベルト 嘔吐 臭い	Phrase	183	183		3	Average	Below average	Below average	https://carinteriorcleaning.jp/regions/osaka/specialist-cleaning/																																																											Enabled	Enabled	Enabled	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 の 室内 清掃	Phrase	257	257	327	7	Average	Average	Above average																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										大阪 車内 清掃	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										自動車 内装 クリーニング	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										車 車内 洗浄	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
大阪府＿車内クリーニング																														int大阪_通常清掃	95																																										自動車 内装 清掃	Phrase					 -	 -	 -																																																												Enabled	Enabled	Paused	Approved		
