severity,issue,source,campaign,ad_group,keyword,expected_theme,expected_slugs,actual_theme,actual_slug,final_url,suggested_url,status,line
CRITICAL,広告グループテーマとキーワードFinal URLが不一致,keyword,大阪府＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/osaka/pet-ke/,https://carinteriorcleaning.jp/regions/osaka/touyu-kobosi/,Enabled,267
CRITICAL,広告グループテーマとキーワードFinal URLが不一致,keyword,沖縄県＿車内クリーニング,int沖縄２515,車 で お 漏らし 掃除,通常清掃/出張専門/専門店,interior-cleaning|shutchou-senmon|specialist-cleaning|mobile-cleaning,おもらし,omorashi,https://carinteriorcleaning.jp/regions/okinawa/omorashi/,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/,Paused,698
CRITICAL,広告グループテーマとキーワードFinal URLが不一致,keyword,宮城県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/miyagi/pet-ke/,https://carinteriorcleaning.jp/regions/miyagi/touyu-kobosi/,Enabled,1313
CRITICAL,広告グループテーマとキーワードFinal URLが不一致,keyword,愛知県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/aichi/pet-ke/,https://carinteriorcleaning.jp/regions/aichi/touyu-kobosi/,Enabled,1911
CRITICAL,広告グループテーマとキーワードFinal URLが不一致,keyword,千葉県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/chiba/pet-ke/,https://carinteriorcleaning.jp/regions/chiba/touyu-kobosi/,Enabled,2512
CRITICAL,広告グループテーマとキーワードFinal URLが不一致,keyword,兵庫県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/hyogo/pet-ke/,https://carinteriorcleaning.jp/regions/hyogo/touyu-kobosi/,Enabled,3111
CRITICAL,広告グループテーマとキーワードFinal URLが不一致,keyword,福岡県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/fukuoka/pet-ke/,https://carinteriorcleaning.jp/regions/fukuoka/touyu-kobosi/,Enabled,3711
CRITICAL,広告グループテーマとキーワードFinal URLが不一致,keyword,群馬県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/gunma/pet-ke/,https://carinteriorcleaning.jp/regions/gunma/touyu-kobosi/,Enabled,4303
CRITICAL,広告グループテーマとキーワードFinal URLが不一致,keyword,栃木県＿車内クリーニング,車内 灯油 こぼし,車内 灯油 こぼし,灯油,touyu-kobosi,ペット毛,pet-ke,https://carinteriorcleaning.jp/regions/tochigi/pet-ke/,https://carinteriorcleaning.jp/regions/tochigi/touyu-kobosi/,Enabled,4909
