qs,lpe,ctr,rel,status,slug,campaign,ad_group,keyword,url
7,Average,Average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 の クリーニング,
7,Average,Average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 の 内装 クリーニング,
7,Average,Average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 の 室内 清掃,
7,Average,Average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 室内 クリーニング,
7,Average,Average,Above average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車 室内 クリーニング,https://carinteriorcleaning.jp/regions/osaka-truck/
7,Below average,Above average,Above average,Paused,evaporator-senjo,栃木県＿車内クリーニング,AG_エアコン_エバポレーター,エバポレーター洗浄 出張,https://carinteriorcleaning.jp/regions/tochigi/evaporator-senjo/
7,Average,Above average,Average,Enabled,interior-cleaning,兵庫県＿車内クリーニング,int兵庫_通常清掃,車内 クリーニング 専門 店 兵庫,https://carinteriorcleaning.jp/regions/hyogo/interior-cleaning/
7,Average,Above average,Average,Enabled,interior-cleaning,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 専門 業者,https://carinteriorcleaning.jp/regions/osaka/interior-cleaning/
7,Average,Above average,Average,Enabled,interior-cleaning,兵庫県＿車内クリーニング,int兵庫_通常清掃,車内 クリーニング 専門 業者,https://carinteriorcleaning.jp/regions/hyogo/interior-cleaning/
7,Average,Above average,Average,Enabled,interior-cleaning,栃木県＿車内クリーニング,int栃木_通常清掃,車内 クリーニング 専門 業者,https://carinteriorcleaning.jp/regions/tochigi/interior-cleaning/
7,Average,Average,Above average,Paused,interior-cleaning,沖縄県＿車内クリーニング,int沖縄２515,車内 清掃,https://carinteriorcleaning.jp/regions/okinawa/interior-cleaning/
7,Average,Average,Above average,Enabled,kyuto-cleaning,大阪府＿車内クリーニング,車 嘔吐 クリーニング,車 クリーニング 大阪,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/
7,Average,Average,Above average,Enabled,kyuto-cleaning,沖縄県＿車内クリーニング,車 嘔吐 クリーニング,車 嘔吐 クリーニング,https://carinteriorcleaning.jp/regions/okinawa/kyuto-cleaning/
7,Average,Above average,Average,Enabled,kyuto-cleaning,大阪府＿車内クリーニング,車 嘔吐 クリーニング,車 嘔吐 クリーニング 大阪,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/
7,Average,Average,Above average,Enabled,kyuto-cleaning,愛知県＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 清掃,https://carinteriorcleaning.jp/regions/aichi/kyuto-cleaning/
7,Average,Above average,Average,Enabled,seat-cleaning,大阪府＿車内クリーニング,車シート クリーニング,車 シート 掃除 業者,https://carinteriorcleaning.jp/regions/osaka/seat-cleaning/
7,Average,Average,Above average,Enabled,seat-cleaning,福岡県＿車内クリーニング,車シート クリーニング,車 シート 掃除 業者,https://carinteriorcleaning.jp/regions/fukuoka/seat-cleaning/
7,Average,Average,Above average,Enabled,seat-cleaning,沖縄県＿車内クリーニング,車シート クリーニング,車シート クリーニング,https://carinteriorcleaning.jp/regions/okinawa/seat-cleaning/
7,Average,Average,Above average,Enabled,seat-cleaning,宮城県＿車内クリーニング,車シート クリーニング,車シート クリーニング,https://carinteriorcleaning.jp/regions/miyagi/seat-cleaning/
7,Below average,Above average,Above average,Enabled,seat-cleaning,兵庫県＿車内クリーニング,車シート クリーニング,車シート クリーニング,https://carinteriorcleaning.jp/regions/hyogo/seat-cleaning/
7,Average,Average,Above average,Enabled,seat-cleaning,福岡県＿車内クリーニング,車シート クリーニング,車シート クリーニング,https://carinteriorcleaning.jp/regions/fukuoka/seat-cleaning/
7,Average,Average,Above average,Enabled,seat-cleaning,栃木県＿車内クリーニング,車シート クリーニング,車シート クリーニング,https://carinteriorcleaning.jp/regions/tochigi/seat-cleaning/
7,Average,Above average,Average,Enabled,shanai-shoshu,大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 プロ,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/
7,Average,Average,Above average,Enabled,shanai-shoshu,沖縄県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 脱臭,https://carinteriorcleaning.jp/regions/okinawa/shanai-shoshu/
8,Average,Above average,Above average,Enabled,HUB,大阪府＿車内クリーニング,int トラック大阪,トラック 室内 清掃,https://carinteriorcleaning.jp/regions/osaka-truck/
8,Average,Above average,Above average,Enabled,HUB,兵庫県＿車内クリーニング,int トラック兵庫,トラック 室内 清掃,https://carinteriorcleaning.jp/regions/hyogo-truck/
8,Average,Above average,Above average,Enabled,interior-cleaning,群馬県＿車内クリーニング,int群馬_通常清掃,車内 清掃 プロ,https://carinteriorcleaning.jp/regions/gunma/interior-cleaning/
8,Average,Above average,Above average,Enabled,kyuto-cleaning,大阪府＿車内クリーニング,AG_緊急_嘔吐,大阪 嘔吐 車内清掃,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/
8,Average,Above average,Above average,Enabled,seat-cleaning,福岡県＿車内クリーニング,車シート クリーニング,車 シート 丸洗い 業者,https://carinteriorcleaning.jp/regions/fukuoka/seat-cleaning/
8,Average,Above average,Above average,Enabled,shutchou-senmon,沖縄県＿車内クリーニング,出張 車内クリーニング 専門店,車内クリーニング 専門店,https://carinteriorcleaning.jp/regions/okinawa/shutchou-senmon/
