qs,lpe,ctr,rel,status,slug,campaign,ad_group,keyword,url
2,Below average,Below average,Average,Enabled,shanai-shoshu,大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車内 脱臭,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/
2,Below average,Below average,Average,Enabled,shanai-shoshu,大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車内 臭い,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/
3,Below average,Average,Below average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,ルーム クリーニング 車,
3,Below average,Below average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 室内 掃除,
3,Below average,Below average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車 室内 清掃,
3,Below average,Average,Below average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 大阪 安い,
3,Below average,Below average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車内 掃除,
3,Below average,Below average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車内 洗浄,
3,Below average,Below average,Above average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車内 清掃,
3,Below average,Below average,Above average,Enabled,HUB,福岡県＿車内クリーニング,int トラック福岡,トラック 臭い 消し,https://carinteriorcleaning.jp/regions/fukuoka-truck/
3,Average,Below average,Below average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車 の 内装 掃除,https://carinteriorcleaning.jp/regions/osaka-truck/
3,Below average,Below average,Above average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車 エアコン 臭い,https://carinteriorcleaning.jp/regions/osaka-truck/
3,Below average,Below average,Above average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車 車内 清掃,https://carinteriorcleaning.jp/regions/osaka-truck/
3,Below average,Below average,Above average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車内 掃除,https://carinteriorcleaning.jp/regions/osaka-truck/
3,Below average,Below average,Above average,Paused,HUB,大阪府＿車内クリーニング,int トラック大阪,車内 清掃,https://carinteriorcleaning.jp/regions/osaka-truck/
3,Below average,Below average,Above average,Enabled,ac-nioi,大阪府＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/osaka/ac-nioi/
3,Below average,Below average,Above average,Paused,ac-nioi,宮城県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/miyagi/ac-nioi/
3,Below average,Below average,Above average,Enabled,ac-nioi,愛知県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/aichi/ac-nioi/
3,Below average,Below average,Above average,Enabled,ac-nioi,千葉県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/chiba/ac-nioi/
3,Below average,Below average,Above average,Enabled,ac-nioi,兵庫県＿車内クリーニング,車　 エアコン臭い,車 エアコン臭い,https://carinteriorcleaning.jp/regions/hyogo/ac-nioi/
3,Below average,Below average,Above average,Enabled,ase,千葉県＿車内クリーニング,車　 汗,車 汗,https://carinteriorcleaning.jp/regions/chiba/ase/
3,Below average,Below average,Above average,Enabled,chuko-kareisyu,大阪府＿車内クリーニング,中古車加齢臭,中古車加齢臭,https://carinteriorcleaning.jp/regions/osaka/chuko-kareisyu/
3,Below average,Below average,Above average,Enabled,evaporator-senjo,大阪府＿車内クリーニング,AG_エアコン_エバポ,エアコン エバポレーター,https://carinteriorcleaning.jp/regions/osaka/evaporator-senjo/
3,Below average,Below average,Above average,Paused,evaporator-senjo,宮城県＿車内クリーニング,AG_エアコン_エバポ,エアコン エバポレーター,https://carinteriorcleaning.jp/regions/miyagi/evaporator-senjo/
3,Below average,Below average,Above average,Enabled,evaporator-senjo,兵庫県＿車内クリーニング,エアコン_エバポレーター,エアコン エバポレーター,https://carinteriorcleaning.jp/regions/hyogo/evaporator-senjo/
3,Below average,Below average,Above average,Paused,evaporator-senjo,栃木県＿車内クリーニング,AG_エアコン_エバポ,エアコン エバポレーター,https://carinteriorcleaning.jp/regions/tochigi/evaporator-senjo/
3,Below average,Below average,Above average,Enabled,kuruma-nioi-keshi,大阪府＿車内クリーニング,車 匂い 消し・消臭洗浄,車 匂い 消し,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/
3,Below average,Below average,Above average,Enabled,kuruma-nioi-keshi,沖縄県＿車内クリーニング,車 匂い 消し・消臭洗浄,車 匂い 消し,https://carinteriorcleaning.jp/regions/okinawa/kuruma-nioi-keshi/
3,Below average,Below average,Above average,Enabled,kuruma-nioi-keshi,宮城県＿車内クリーニング,車 匂い 消し・消臭洗浄,車 匂い 消し,https://carinteriorcleaning.jp/regions/miyagi/kuruma-nioi-keshi/
3,Below average,Below average,Above average,Enabled,kuruma-nioi-keshi,愛知県＿車内クリーニング,車 匂い 消し・消臭洗浄,車 匂い 消し,https://carinteriorcleaning.jp/regions/aichi/kuruma-nioi-keshi/
3,Below average,Below average,Above average,Enabled,kuruma-nioi-keshi,千葉県＿車内クリーニング,車 匂い 消し・消臭洗浄,車 匂い 消し,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/
3,Below average,Below average,Above average,Enabled,kuruma-nioi-keshi,兵庫県＿車内クリーニング,車 匂い 消し・消臭洗浄,車 匂い 消し,https://carinteriorcleaning.jp/regions/hyogo/kuruma-nioi-keshi/
3,Below average,Below average,Above average,Enabled,kuruma-nioi-keshi,福岡県＿車内クリーニング,車 匂い 消し・消臭洗浄,車 匂い 消し,https://carinteriorcleaning.jp/regions/fukuoka/kuruma-nioi-keshi/
3,Below average,Below average,Above average,Enabled,kuruma-nioi-keshi,群馬県＿車内クリーニング,車 匂い 消し・消臭洗浄,車 匂い 消し,https://carinteriorcleaning.jp/regions/gunma/kuruma-nioi-keshi/
3,Below average,Average,Below average,Enabled,kuruma-nioi-keshi,愛知県＿車内クリーニング,AG_消臭_口語,車 匂い 消し 業者,https://carinteriorcleaning.jp/regions/aichi/kuruma-nioi-keshi/
3,Below average,Average,Below average,Enabled,kuruma-nioi-keshi,千葉県＿車内クリーニング,AG_消臭_口語,車 匂い 消し 業者,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/
3,Below average,Below average,Above average,Enabled,kuruma-nioi-keshi,宮城県＿車内クリーニング,消臭_口語,車 消臭,https://carinteriorcleaning.jp/regions/miyagi/kuruma-nioi-keshi/
3,Average,Below average,Below average,Enabled,kuruma-nioi-keshi,沖縄県＿車内クリーニング,消臭_口語,車内 消臭,https://carinteriorcleaning.jp/regions/okinawa/kuruma-nioi-keshi/
3,Below average,Below average,Above average,Enabled,kyuto-cleaning,大阪府＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 清掃,https://carinteriorcleaning.jp/regions/osaka/kyuto-cleaning/
3,Below average,Below average,Above average,Enabled,kyuto-cleaning,宮城県＿車内クリーニング,車 嘔吐 クリーニング,車内 嘔吐 清掃,https://carinteriorcleaning.jp/regions/miyagi/kyuto-cleaning/
3,Below average,Below average,Above average,Enabled,oshikko,大阪府＿車内クリーニング,車　 おしっこ,車 おしっこ,https://carinteriorcleaning.jp/regions/osaka/oshikko/
3,Below average,Below average,Above average,Enabled,pet-nioi,沖縄県＿車内クリーニング,車　 ペット臭,車 ペット臭,https://carinteriorcleaning.jp/regions/okinawa/pet-nioi/
3,Below average,Below average,Above average,Enabled,seat-senjo,沖縄県＿車内クリーニング,車シート 洗浄,車 シート 清掃,https://carinteriorcleaning.jp/regions/okinawa/seat-senjo/
3,Below average,Below average,Above average,Enabled,seat-senjo,群馬県＿車内クリーニング,車シート 洗浄,車シート 洗浄,https://carinteriorcleaning.jp/regions/gunma/seat-senjo/
3,Average,Below average,Below average,Enabled,shanai-shoshu,兵庫県＿車内クリーニング,車内 消臭・脱臭洗浄,車 シート 嘔吐 臭い,https://carinteriorcleaning.jp/regions/hyogo/shanai-shoshu/
3,Below average,Below average,Above average,Enabled,shanai-shoshu,大阪府＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消 臭 剤,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/
3,Below average,Below average,Above average,Enabled,shanai-shoshu,愛知県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 消臭 脱臭,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/
3,Below average,Below average,Above average,Enabled,shanai-shoshu,愛知県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 脱臭,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/
3,Below average,Below average,Above average,Enabled,shanai-shoshu,千葉県＿車内クリーニング,車内 消臭・脱臭洗浄,車内 脱臭,https://carinteriorcleaning.jp/regions/chiba/shanai-shoshu/
4,Below average,Average,Average,Paused,,大阪府＿車内クリーニング,int大阪_通常清掃,車内 クリーニング 専門 店,
