row_index,campaign,ad_group,slug,final_url,old_path2,new_path2,status
1504,宮城県＿車内クリーニング,緊急_ペット,oshikko,https://carinteriorcleaning.jp/regions/miyagi/oshikko/,嘔吐ニオイ清掃,おしっこ消臭,Enabled
2656,千葉県＿車内クリーニング,AG_条件_出張,shutchou-senmon,https://carinteriorcleaning.jp/regions/chiba/shutchou-senmon/,嘔吐ニオイ清掃,出張専門,Enabled
2693,千葉県＿車内クリーニング,緊急_ペット,oshikko,https://carinteriorcleaning.jp/regions/chiba/oshikko/,嘔吐ニオイ清掃,おしっこ消臭,Enabled
4164,群馬県＿車内クリーニング,車 匂い 消し・消臭洗浄,kuruma-nioi-keshi,https://carinteriorcleaning.jp/regions/gunma/kuruma-nioi-keshi/,嘔吐ニオイ清掃,匂い消し,Enabled
