severity,campaign,ad_group,path2,actual_theme,actual_slug,final_url,headline2,line
HIGH,沖縄県＿車内クリーニング,中古車タバコ臭,嘔吐ニオイ清掃,中古車タバコ,chuko-tabako,https://carinteriorcleaning.jp/regions/okinawa/chuko-tabako/,中古車タバコ臭クリーニング,46
HIGH,沖縄県＿車内クリーニング,車 匂い 消し・消臭洗浄,嘔吐ニオイ清掃,匂い消し,kuruma-nioi-keshi,https://carinteriorcleaning.jp/regions/okinawa/kuruma-nioi-keshi/,車 匂い 消し・消臭洗浄,49
HIGH,大阪府＿車内クリーニング,AG_緊急_嘔吐,ペットうんち,嘔吐,vomit-cleaning,https://carinteriorcleaning.jp/regions/osaka/vomit-cleaning/,車 ゲロ 消臭 即日,51
HIGH,大阪府＿車内クリーニング,AG_緊急_灯油,嘔吐ニオイ清掃,灯油,touyu-kobosi,https://carinteriorcleaning.jp/regions/osaka/touyu-kobosi/,車 灯油 こぼし 出張,55
HIGH,大阪府＿車内クリーニング,AG_緊急_ペット,嘔吐ニオイ清掃,おしっこ,oshikko,https://carinteriorcleaning.jp/regions/osaka/oshikko/,車 おしっこ シート 洗浄 出張,58
HIGH,大阪府＿車内クリーニング,AG_消臭_口語,嘔吐ニオイ清掃,匂い消し,kuruma-nioi-keshi,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/,車 匂い 消し 業者,61
HIGH,大阪府＿車内クリーニング,AG_消臭_口語,ペットうんち,匂い消し,kuruma-nioi-keshi,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/,車内 クサイ 消臭,62
HIGH,大阪府＿車内クリーニング,AG_消臭_中古車,ペットうんち,中古車タバコ,chuko-tabako,https://carinteriorcleaning.jp/regions/osaka/chuko-tabako/,中古車 加齢臭 車内,65
HIGH,大阪府＿車内クリーニング,AG_消臭_湿気カビ,嘔吐ニオイ清掃,車内臭い,shanai-nioi,https://carinteriorcleaning.jp/regions/osaka/shanai-nioi/,車内 カビ臭 取り方 業者,67
HIGH,大阪府＿車内クリーニング,AG_エアコン_エバポレーター,嘔吐ニオイ清掃,エバポ,evaporator-senjo,https://carinteriorcleaning.jp/regions/osaka/evaporator-senjo/,エバポレーター洗浄 出張,70
HIGH,大阪府＿車内クリーニング,AG_条件_出張,嘔吐ニオイ清掃,出張専門,shutchou-senmon,https://carinteriorcleaning.jp/regions/osaka/shutchou-senmon/,車内クリーニング 即日 出張,73
HIGH,大阪府＿車内クリーニング,AG_条件_電源不要,嘔吐ニオイ清掃,電源不要,dengen-fuyou,https://carinteriorcleaning.jp/regions/osaka/dengen-fuyou/,車内清掃 電源不要 出張,75
HIGH,沖縄県＿車内クリーニング,AG_緊急_ペット,嘔吐ニオイ清掃,おしっこ,oshikko,https://carinteriorcleaning.jp/regions/okinawa/oshikko/,車 おしっこ シート 洗浄 出張,87
HIGH,沖縄県＿車内クリーニング,AG_消臭_口語,嘔吐ニオイ清掃,匂い消し,kuruma-nioi-keshi,https://carinteriorcleaning.jp/regions/okinawa/kuruma-nioi-keshi/,車 匂い 消し 業者,90
HIGH,沖縄県＿車内クリーニング,AG_消臭_中古車,嘔吐ニオイ清掃,中古車タバコ,chuko-tabako,https://carinteriorcleaning.jp/regions/okinawa/chuko-tabako/,中古車 タバコ臭 消せない,93
HIGH,沖縄県＿車内クリーニング,AG_消臭_湿気カビ,嘔吐ニオイ清掃,車内臭い,shanai-nioi,https://carinteriorcleaning.jp/regions/okinawa/shanai-nioi/,車 湿気 臭い シート 洗浄,95
HIGH,沖縄県＿車内クリーニング,AG_エアコン_エバポレーター,嘔吐ニオイ清掃,エバポ,evaporator-senjo,https://carinteriorcleaning.jp/regions/okinawa/evaporator-senjo/,エバポレーター洗浄 出張,98
HIGH,沖縄県＿車内クリーニング,AG_条件_出張,嘔吐ニオイ清掃,出張専門,shutchou-senmon,https://carinteriorcleaning.jp/regions/okinawa/shutchou-senmon/,車内クリーニング 即日 出張,101
