qs,keyword,status,lpe,ctr,rel,final_url,ad_group,campaign,slug
1,車の匂い取り,Enabled,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/okinawa/kuruma-nioitori/,車の匂い取り,沖縄県＿車内クリーニング,kuruma-nioitori
1,車の匂い取り,Enabled,Below average,Below average,Below average,https://carinteriorcleaning.jp/regions/fukuoka/kuruma-nioitori/,車の匂い取り,福岡県＿車内クリーニング,kuruma-nioitori
1,車内 クリーニング 専門 業者,Enabled,Below average,Below average,Below average,,int群馬_通常清掃,群馬県＿車内クリーニング,
1,車内 嘔吐 臭い 消し,Enabled,Below average,Below average,Below average,,int千葉_通常清掃,千葉県＿車内クリーニング,
1,車内 清掃 プロ,Enabled,Below average,Below average,Below average,,int栃木_通常清掃,栃木県＿車内クリーニング,
2,自動車 シート 清掃,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/seat-cleaning/,車シート クリーニング,大阪府＿車内クリーニング,seat-cleaning
2,車 エアコンクリーニング,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/car-ac-cleaning/,車 エアコンクリーニング,大阪府＿車内クリーニング,car-ac-cleaning
2,車 エアコンクリーニング,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/fukuoka/car-ac-cleaning/,車 エアコンクリーニング,福岡県＿車内クリーニング,car-ac-cleaning
2,車 エアコン臭い,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/fukuoka/ac-nioi/,車　 エアコン臭い,福岡県＿車内クリーニング,ac-nioi
2,車 エアコン臭い,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/gunma/ac-nioi/,車　 エアコン臭い,群馬県＿車内クリーニング,ac-nioi
2,車 エアコン臭い,Paused,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/tochigi/ac-nioi/,車　 エアコン臭い,栃木県＿車内クリーニング,ac-nioi
2,車 シート 臭い,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/aichi/shanai-shoshu/,車内 消臭・脱臭洗浄,愛知県＿車内クリーニング,shanai-shoshu
2,車 シート 臭い,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/chiba/shanai-shoshu/,車内 消臭・脱臭洗浄,千葉県＿車内クリーニング,shanai-shoshu
2,車 シート 臭い,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/fukuoka/shanai-shoshu/,車内 消臭・脱臭洗浄,福岡県＿車内クリーニング,shanai-shoshu
2,車 ルーム クリーニング,Paused,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
2,車 消臭,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/,消臭_口語,大阪府＿車内クリーニング,kuruma-nioi-keshi
2,車 消臭,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/,消臭_口語,千葉県＿車内クリーニング,kuruma-nioi-keshi
2,車 消臭,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/hyogo/kuruma-nioi-keshi/,消臭_口語,兵庫県＿車内クリーニング,kuruma-nioi-keshi
2,車 消臭,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/fukuoka/kuruma-nioi-keshi/,消臭_口語,福岡県＿車内クリーニング,kuruma-nioi-keshi
2,車 消臭,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/gunma/kuruma-nioi-keshi/,消臭_口語,群馬県＿車内クリーニング,kuruma-nioi-keshi
2,車の匂い取り,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioitori/,車の匂い取り,大阪府＿車内クリーニング,kuruma-nioitori
2,車の匂い取り,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/miyagi/kuruma-nioitori/,車の匂い取り,宮城県＿車内クリーニング,kuruma-nioitori
2,車の匂い取り,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioitori/,車の匂い取り,千葉県＿車内クリーニング,kuruma-nioitori
2,車の匂い取り,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/hyogo/kuruma-nioitori/,車の匂い取り,兵庫県＿車内クリーニング,kuruma-nioitori
2,車の匂い取り,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/tochigi/kuruma-nioitori/,車の匂い取り,栃木県＿車内クリーニング,kuruma-nioitori
2,車内 脱臭,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/,車内 消臭・脱臭洗浄,大阪府＿車内クリーニング,shanai-shoshu
2,車内 臭い,Enabled,Below average,Below average,Average,https://carinteriorcleaning.jp/regions/osaka/shanai-shoshu/,車内 消臭・脱臭洗浄,大阪府＿車内クリーニング,shanai-shoshu
3,エアコン エバポレーター,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka/evaporator-senjo/,AG_エアコン_エバポ,大阪府＿車内クリーニング,evaporator-senjo
3,エアコン エバポレーター,Paused,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/miyagi/evaporator-senjo/,AG_エアコン_エバポ,宮城県＿車内クリーニング,evaporator-senjo
3,エアコン エバポレーター,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/hyogo/evaporator-senjo/,エアコン_エバポレーター,兵庫県＿車内クリーニング,evaporator-senjo
3,エアコン エバポレーター,Paused,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/tochigi/evaporator-senjo/,AG_エアコン_エバポ,栃木県＿車内クリーニング,evaporator-senjo
3,シート ベルト 嘔吐 臭い,Enabled,Average,Below average,Below average,https://carinteriorcleaning.jp/regions/osaka/specialist-cleaning/,int大阪_通常清掃,大阪府＿車内クリーニング,specialist-cleaning
3,トラック 臭い 消し,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/fukuoka-truck/,int トラック福岡,福岡県＿車内クリーニング,fukuoka-truck
3,ルーム クリーニング 車,Paused,Below average,Average,Below average,,int大阪_通常清掃,大阪府＿車内クリーニング,
3,中古車加齢臭,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka/chuko-kareisyu/,中古車加齢臭,大阪府＿車内クリーニング,chuko-kareisyu
3,車 おしっこ,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka/oshikko/,車　 おしっこ,大阪府＿車内クリーニング,oshikko
3,車 の 内装 掃除,Paused,Average,Below average,Below average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
3,車 エアコン 臭い,Paused,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
3,車 エアコン臭い,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka/ac-nioi/,車　 エアコン臭い,大阪府＿車内クリーニング,ac-nioi
3,車 エアコン臭い,Paused,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/miyagi/ac-nioi/,車　 エアコン臭い,宮城県＿車内クリーニング,ac-nioi
3,車 エアコン臭い,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/aichi/ac-nioi/,車　 エアコン臭い,愛知県＿車内クリーニング,ac-nioi
3,車 エアコン臭い,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/chiba/ac-nioi/,車　 エアコン臭い,千葉県＿車内クリーニング,ac-nioi
3,車 エアコン臭い,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/hyogo/ac-nioi/,車　 エアコン臭い,兵庫県＿車内クリーニング,ac-nioi
3,車 ゲロ 掃除,Paused,Below average,Below average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
3,車 シート 嘔吐 臭い,Enabled,Average,Below average,Below average,https://carinteriorcleaning.jp/regions/hyogo/shanai-shoshu/,車内 消臭・脱臭洗浄,兵庫県＿車内クリーニング,shanai-shoshu
3,車 シート 清掃,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/okinawa/seat-senjo/,車シート 洗浄,沖縄県＿車内クリーニング,seat-senjo
3,車 ペット臭,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/okinawa/pet-nioi/,車　 ペット臭,沖縄県＿車内クリーニング,pet-nioi
3,車 匂い 消し,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka/kuruma-nioi-keshi/,車 匂い 消し・消臭洗浄,大阪府＿車内クリーニング,kuruma-nioi-keshi
3,車 匂い 消し,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/okinawa/kuruma-nioi-keshi/,車 匂い 消し・消臭洗浄,沖縄県＿車内クリーニング,kuruma-nioi-keshi
3,車 匂い 消し,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/miyagi/kuruma-nioi-keshi/,車 匂い 消し・消臭洗浄,宮城県＿車内クリーニング,kuruma-nioi-keshi
3,車 匂い 消し,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/aichi/kuruma-nioi-keshi/,車 匂い 消し・消臭洗浄,愛知県＿車内クリーニング,kuruma-nioi-keshi
3,車 匂い 消し,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/,車 匂い 消し・消臭洗浄,千葉県＿車内クリーニング,kuruma-nioi-keshi
3,車 匂い 消し,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/hyogo/kuruma-nioi-keshi/,車 匂い 消し・消臭洗浄,兵庫県＿車内クリーニング,kuruma-nioi-keshi
3,車 匂い 消し,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/fukuoka/kuruma-nioi-keshi/,車 匂い 消し・消臭洗浄,福岡県＿車内クリーニング,kuruma-nioi-keshi
3,車 匂い 消し,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/gunma/kuruma-nioi-keshi/,車 匂い 消し・消臭洗浄,群馬県＿車内クリーニング,kuruma-nioi-keshi
3,車 匂い 消し 業者,Enabled,Below average,Average,Below average,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/,AG_消臭_口語,千葉県＿車内クリーニング,kuruma-nioi-keshi
3,車 室内 掃除,Paused,Below average,Below average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
3,車 室内 清掃,Paused,Below average,Below average,Above average,,int大阪_通常清掃,大阪府＿車内クリーニング,
3,車 消臭,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/miyagi/kuruma-nioi-keshi/,消臭_口語,宮城県＿車内クリーニング,kuruma-nioi-keshi
3,車 車内 清掃,Paused,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/osaka-truck/,int トラック大阪,大阪府＿車内クリーニング,osaka-truck
3,車シート 洗浄,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/gunma/seat-senjo/,車シート 洗浄,群馬県＿車内クリーニング,seat-senjo
3,車シート 洗浄,Enabled,Below average,Below average,Above average,https://carinteriorcleaning.jp/regions/tochigi/seat-senjo/,車シート 洗浄,栃木県＿車内クリーニング,seat-senjo
